food_code,food_description,method,method_description,nhanes,price_100gm
27564121,"Frankfurter or hot dog sandwich, beef and pork, plain, on wheat bun",4,FNDDS recipe with replaced or modified SR codes,Base,0.605936
27564130,"Frankfurter or hot dog sandwich, beef and pork, plain, on white bread (Includes other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.555513
27564140,"Frankfurter or hot dog sandwich, beef and pork, plain, on wheat bread",4,FNDDS recipe with replaced or modified SR codes,Base,0.560398
27564150,"Frankfurter or hot dog sandwich, beef and pork, plain, on whole wheat bread (Includes whole grain bread)",4,FNDDS recipe with replaced or modified SR codes,Base,0.587774
27564180,"Frankfurter or hot dog sandwich, meat and poultry, plain, on white bun (Includes any combination of chicken and/or turkey with beef and/or pork; bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.538337
27564181,"Frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bun (Includes any combination of chicken and/or turkey with beef and/or pork)",4,FNDDS recipe with replaced or modified SR codes,Base,0.575639
27564190,"Frankfurter or hot dog sandwich, meat and poultry, plain, on white bread (Includes any combination of chicken and/or turkey with beef and/or pork; other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.527737
27564200,"Frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bread (Includes any combination of chicken and/or turkey with beef and/or pork)",4,FNDDS recipe with replaced or modified SR codes,Base,0.532378
27564210,"Frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bread (Includes any combination of chicken and/or turkey with beef and/or pork; whole grain bread)",4,FNDDS recipe with replaced or modified SR codes,Base,0.558385
27564220,"Frankfurter or hot dog sandwich, meat and poultry, plain, on whole grain white bread (Includes any combination of chicken and/or turkey with beef and/or pork)",4,FNDDS recipe with replaced or modified SR codes,Base,0.52674
27564240,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun (Includes bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.538337
27564241,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bun",4,FNDDS recipe with replaced or modified SR codes,Base,0.575639
